"","SL87462_49","SL87463_50","SL87464_51","SL87465_52","SL87466_53","SL87467_54"
"ENSDARG00000000001",6.45702824824807,6.69643673773725,6.70440330395178,6.67106850331936,6.65268241776541,6.4423099329392
"ENSDARG00000000002",9.82926770887077,9.52100924953399,8.88114355313067,9.55994615022334,9.56124076965303,9.34636558446618
"ENSDARG00000000018",8.69800196097466,8.59319229297372,8.49358927955116,8.47287929454471,8.45548214232479,8.36116604251021
"ENSDARG00000000019",10.3321862198214,10.1890038520793,10.1132448777964,10.1039233884155,10.0707282434573,10.0164143301994
"ENSDARG00000000068",8.73674318855205,8.72620098135228,8.59731769382887,8.6893307766425,8.49924556032343,8.50274774449943
"ENSDARG00000000069",10.8834075037927,10.9511186734615,10.901142994665,10.9125218381225,10.7724572653983,10.852370251624
"ENSDARG00000000086",8.19605012643688,8.06844296978109,7.47127393521842,7.94248361596653,7.95680350976178,7.74468888642491
"ENSDARG00000000103",10.0241595829185,9.72769284193023,9.18809051908974,9.57871792169118,9.58304455148717,9.40426042865828
"ENSDARG00000000142",4.62131018545068,4.59130927110166,4.74656563716378,4.80766040729119,4.69067826277151,4.72881621997515
"ENSDARG00000000151",6.79459070418921,6.9242645318323,6.82728530397299,6.95015492982461,7.04616159731467,6.95557829798934
"ENSDARG00000000161",4.51559381416756,4.45426851491681,4.26835520572825,4.53533210797957,4.51048090709799,4.47746128410064
"ENSDARG00000000183",7.75212667214767,7.66379902293596,7.47134130448586,7.85144562000229,7.84346971010391,7.8288482556403
"ENSDARG00000000189",9.40756236240673,9.27806056166875,9.1728915162606,9.20847477788505,9.27485883677765,9.29848273733794
"ENSDARG00000000212",15.735134533508,15.7001882149399,15.5002949272707,15.8279159262649,15.6866311829393,15.881985537774
"ENSDARG00000000229",7.6346879349373,7.47471286874002,7.3361573463144,7.27880470869206,7.44112401453693,7.36353694718621
"ENSDARG00000000241",9.31487970430113,9.07583381553781,9.02401514080163,8.92629713546224,8.78873141155205,8.61762798775195
"ENSDARG00000000324",7.65262620361465,7.54848376568159,7.35367124139973,7.520713605387,7.36516603780565,7.40320618775106
"ENSDARG00000000349",3.76756974831273,3.71061524812655,3.62154217237083,3.70761826026953,3.83224955139465,3.86167094142064
